,,place,player,points,#,wrld,ic_30,ic_31,ic_32,ic_33,im_27,im_28,im_29,im_30,rl_05,rl_06,rl_07,rl_08,wmbl,aus,sl,ml,eif,qd
,,281,Demetrius,440,5,260,,,,,64,76,,,,,,,10,,,30,,
,,281,Neandrtalec,440,5,170,,,,,,,,,75,70,80,,45,,,,,
,,283,tnawrocki,438,16,,34,46,47,40,64,64,55,42,52,55,55,45,10,10,,42,26,
,,284,Boristina,436,5,210,,,,,42,56,64,64,,,,,,,,,,
,,284,llsgnm,436,13,,27,30,23,46,30,30,76,55,44,45,60,80,10,,,,,
,,284,invalidName,436,4,,,,,69,,,102,140,,,,125,,,,,,
,,287,Jaracz,435,2,390,,,,,,,,,,,,,45,,,,,
,,287,whsvin,435,3,75,,,,,,,,,,,,,,180,,,,180
,,289,DarthVaderDLotS,434,9,115,59,47,59,47,30,20,35,42,,,,,,,,,,
,,289,TribunX,434,12,140,47,47,59,43,30,30,27,,25,38,30,,,,,,10,
,,291,comant,433,17,140,46,40,30,26,49,30,20,27,19,48,50,30,,10,1,29,29,
,,291,Garghiii,433,17,95,34,30,46,69,27,20,42,42,35,44,50,45,10,10,30,,26,
,,293,iyakhoop,430,2,260,,,,,,,,,,,,,,,,,170,
,,294,Alvin1912,428,7,130,69,40,,,76,49,35,,,,,,,,,,29,
,,295,littlesquirrel,425,3,,,,,,,,,,300,,,,25,100,,,,
,,295,SimTubez,425,8,,46,40,46,40,55,42,56,100,,,,,,,,,,
